Event	ID	Name			Wwise Object Path	Notes
	2811776615	BloodTankTicks			\Default Work Unit\PC\UI\BloodTankTicks	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	78836509	BloodTank_ImpLayer_01	C:\Users\Jeff Brihante\Desktop\GitHub\ProjectConan\Conan\Conan_WwiseProject\.cache\Windows\SFX\BloodTank_ImpLayer_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\PC\UI\BloodTanks\Imp Layer\BloodTank_ImpLayer_01		114602
	109678837	BloodTank_SquishLayer_01	C:\Users\Jeff Brihante\Desktop\GitHub\ProjectConan\Conan\Conan_WwiseProject\.cache\Windows\SFX\BloodTank_SquishLayer_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\PC\UI\BloodTanks\Squish Layer\BloodTank_SquishLayer_01		114602
	287704691	BloodTank_SuckLayer_02	C:\Users\Jeff Brihante\Desktop\GitHub\ProjectConan\Conan\Conan_WwiseProject\.cache\Windows\SFX\BloodTank_SuckLayer_02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\PC\UI\BloodTanks\SucksLayer\BloodTank_SuckLayer_02		92960
	321380537	BloodTank_SquishLayer_03	C:\Users\Jeff Brihante\Desktop\GitHub\ProjectConan\Conan\Conan_WwiseProject\.cache\Windows\SFX\BloodTank_SquishLayer_03_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\PC\UI\BloodTanks\Squish Layer\BloodTank_SquishLayer_03		89386
	347143586	BloodTank_SquishLayer_02	C:\Users\Jeff Brihante\Desktop\GitHub\ProjectConan\Conan\Conan_WwiseProject\.cache\Windows\SFX\BloodTank_SquishLayer_02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\PC\UI\BloodTanks\Squish Layer\BloodTank_SquishLayer_02		92960
	461341067	BloodTank_ImpLayer_02	C:\Users\Jeff Brihante\Desktop\GitHub\ProjectConan\Conan\Conan_WwiseProject\.cache\Windows\SFX\BloodTank_ImpLayer_02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\PC\UI\BloodTanks\Imp Layer\BloodTank_ImpLayer_02		92960
	627232636	BloodTank_ImpLayer_03	C:\Users\Jeff Brihante\Desktop\GitHub\ProjectConan\Conan\Conan_WwiseProject\.cache\Windows\SFX\BloodTank_ImpLayer_03_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\PC\UI\BloodTanks\Imp Layer\BloodTank_ImpLayer_03		89386
	661076492	BloodTank_SuckLayer_03	C:\Users\Jeff Brihante\Desktop\GitHub\ProjectConan\Conan\Conan_WwiseProject\.cache\Windows\SFX\BloodTank_SuckLayer_03_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\PC\UI\BloodTanks\SucksLayer\BloodTank_SuckLayer_03		89386
	985148415	BloodTank_SuckLayer_01	C:\Users\Jeff Brihante\Desktop\GitHub\ProjectConan\Conan\Conan_WwiseProject\.cache\Windows\SFX\BloodTank_SuckLayer_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\PC\UI\BloodTanks\SucksLayer\BloodTank_SuckLayer_01		114602

